tag3	tag1	name	autonym
bbm		Babango	
bbl		Bats	
bbk		Babanki	Nga-Kejom
bbj		Ghomala	
bbi		Barombi	
bbh		Bugan	
bbg		Barama	
bbf		Baibai	
bbe		Bangba	
bbd		Bau	
bbc		Batak Toba	Batta
bbb		Barai	
bba		Baatonum	Baatonum
bay		Batuley	
bax		Bamun	Shüpamom
baw		Bambili-Bambui	
bav		Vengo	
bau		Bada (Nigeria)	
bas		Basaa	Ɓàsàa
bar		Bavarian	Boarisch
bap		Bantawa	
bao		Waimaha	Waimaja
ban		Balinese	Basa Bali, Basa Bali
bal		Baluchi	
baj		Barakai	
bah		Bahamas Creole English	
bag		Tuki	
baf		Nubaca	
bae		Baré	
bac		Badui	
bab		Bainouk-Gunyuño	
baa		Babatana	
azz		Highland Puebla Nahuatl	Mexicano, Nahuatlahtolli
azt		Faire Atta	
azo		Awing	Atembuluwe
azn		Western Durango Nahuatl	Meshikan de San Agustin Buenaventura y de Santa Cruz
azm		Ipalapa Amuzgo	Jñunda
azj		North Azerbaijani	азәрбајҹан дили‎ (Azərbaycan dili), азәрбајҹанҹа‎ (azərbaycanca)
azg		San Pedro Amuzgos Amuzgo	Jnꞌoon
azd		Eastern Durango Nahuatl	Meshikan de San Pedro Shikora
azb		South Azerbaijani	آذربایجان دیلی‎ (Azərbaycan dili), آذربایجانجا‎ (Azərbaycanca)
aza		Azha	
ayz		Mai Brat	
ayy		Tayabas Ayta	
ayu		Ayu	
ayt		Magbukun Ayta	
ays		Sorsogon Ayta	
ayr		Central Aymara	Aymar
ayq		Ayi (Papua New Guinea)	
ayp		North Mesopotamian Arabic	
ayo		Ayoreo	Morotoco
ayn		Sanaani Arabic	
ayl		Libyan Arabic	ليبي‎ (Lībi)
ayk		Akuku	
ayi		Leyigha	
ayh		Hadrami Arabic	
ayg		Ginyanga	
aye		Ayere	
ayd		Ayabadhu	
ayc		Southern Aymara	
ayb		Ayizo Gbe	Ayizo Gbe
aya		Awar	
axx		Xârâgurè	
axm		Middle Armenian	
axl		Lower Southern Aranda	
axk		Yaka (Central African Republic)	Aka
axg		Mato Grosso Arára	
axe		Ayerrerenge	
axb		Abipon	
awy		Edera Awyu	
awx		Awara	
aww		Awun	
awv		Jair Awyu	
awu		Central Awyu	
awt		Araweté	
aws		South Awyu	
awr		Awera	
awo		Awak	
awn		Awngi	
awm		Arawum	
awk		Awabakal	
awi		Aekyom	
awh		Awbono	
awg		Anguthimri	
awe		Awetí	
awc		Cicipu	
awb		Awa (Papua New Guinea)	
awa		Awadhi	अवधी‎ (Awadhi)
bam	bm	Bambara	bamanakan
avv		Avá-Canoeiro	
avu		Avokaya	
bel	be	Belarusian	беларуская
bak	ba	Bashkir	башҡорт теле‎ (Başķort tele), башҡортса‎ (Başķortsa)
aze	az	Azerbaijani	azərbaycan
aym	ay	Aymara	
ava	av	Avaric	авар мацӏ‎ (Awar mac̣), магӏарул мацӏ‎ (Maʿarul mac̣)
asm	as	Assamese	অসমীয়া
ara	ar	Arabic	العربية
arg	an	Aragonese	Aragonés
amh	am	Amharic	አማርኛ
aka	ak	Akan	Akan
afr	af	Afrikaans	Afrikaans
ave	ae	Avestan	
aas		Aasáx	
aat		Arvanitika Albanian	
aau		Abau	Abau
aaw		Solong	Solong
aax		Mandobo Atas	
aaz		Amarasi	
aba		Abé	
abb		Bankon	
abc		Ambala Ayta	
abd		Manide	
abe		Western Abnaki	Alnôbak
abf		Abai Sungai	
abg		Abaga	
abh		Tajiki Arabic	
abi		Abidji	
abj		Aka-Bea	
abl		Lampung Nyo	
abm		Abanyom	
abn		Abua	Abuan
abo		Abon	
abp		Abellen Ayta	
abq		Abaza	Abaza, абаза‎ (Abaza), абаза бызшва‎ (Abaza byzšva)
abr		Abron	Brong
abs		Ambonese Malay	Bahasa Ambon, Bahasa Melaju Ambon
abt		Ambulas	Ambulas
abu		Abure	
abv		Baharna Arabic	العربية البحرانية‎ (Arab Bahraini)
abw		Pal	
abx		Inabaknon	Inabaknon
aby		Aneme Wake	
abz		Abui	
aca		Achagua	
acb		Áncá	
acd		Gikyode	
ace		Achinese	Aceh, Basa Acèh
acf		Saint Lucian Creole French	Kwéyòl, Patwa
ach		Acoli	
aci		Aka-Cari	
ack		Aka-Kora	
acl		Akar-Bale	
acm		Mesopotamian Arabic	عراقي‎ (ʕirāgi)
acn		Achang	Ngochang
acp		Eastern Acipa	
acq		Ta'izzi-Adeni Arabic	
acr		Achi	Qach’a’teem
acs		Acroá	
act		Achterhoeks	
acu		Achuar-Shiwiar	Achuar Chicham, Shiwiar Chicham
acv		Achumawi	
acw		Hijazi Arabic	
acx		Omani Arabic	
acy		Cypriot Arabic	Sanna
acz		Acheron	Garme
ada		Adangme	
adb		Adabe	
add		Dzodinka	
ade		Adele	Gidire
adf		Dhofari Arabic	
adg		Andegerebinha	
adh		Adhola	Dhopadhola
adi		Adi	Adi
adj		Adioukrou	
adl		Galo	
adn		Adang	
ado		Abu	
adq		Adangbe	
adr		Adonara	
ads		Adamorobe Sign Language	
adt		Adnyamathanha	
adu		Aduge	
adw		Amundava	
adx		Amdo Tibetan	
ady		Adyghe	Адыгабзэ‎ (Adəgăbză)
adz		Adzera	Adzera
aea		Areba	
aeb		Tunisian Arabic	Derja, تونسي‎ (Tounsi)
aec		Saidi Arabic	
aed		Argentine Sign Language	
aee		Northeast Pashai	
aek		Haeke	
ael		Ambele	
aem		Arem	
aen		Armenian Sign Language	
aeq		Aer	
aer		Eastern Arrernte	Arrernte
aes		Alsea	
aeu		Akeu	
aew		Ambakich	
aey		Amele	Amele
aez		Aeka	Aeka
afb		Gulf Arabic	خليجي‎ (Khaliji)
afd		Andai	
afe		Putukwam	
afg		Afghan Sign Language	
afh		Afrihili	
afi		Akrukay	
afk		Nanubae	
afn		Defaka	
afo		Eloyi	Eloyi
afp		Tapei	
afs		Afro-Seminole Creole	
aft		Afitti	
afu		Awutu	Awutu
afz		Obokuitai	
aga		Aguano	
agb		Legbo	
agc		Agatu	
agd		Agarabi	Agarabi
age		Angal	Angal Heneng
agf		Arguni	
agg		Angor	
agh		Ngelima	
agi		Agariya	
agj		Argobba	
agk		Isarog Agta	
agl		Fembe	
agm		Angaataha	Angaataha
agn		Agutaynen	
ago		Tainae	Tainae
agq		Aghem	Aghem
agr		Aguaruna	Awajún
ags		Esimbi	Esimbi
agt		Central Cagayan Agta	Agta
agu		Aguacateco	Qa’yol
agv		Remontado Dumagat	
agw		Kahua	
agx		Aghul	агъул‎ (Aġul), агъул чӀал‎ (Ağul ҫ̇al)
agy		Southern Alta	Alta, Kaboloan
agz		Mt. Iriga Agta	
aha		Ahanta	
ahb		Axamb	
ahg		Qimant	
ahh		Aghu	
ahi		Tiagbamrin Aizi	
ahk		Akha	A˯ka˯daw˯‎ (Avkavdawv)
ahl		Igo	Igo
ahm		Mobumrin Aizi	
ahn		Àhàn	
aho		Ahom	
ahp		Aproumu Aizi	
ahr		Ahirani	
ahs		Ashe	Ishe
aht		Ahtena	
aia		Arosi	Arosi
aib		Ainu (China)	
aic		Ainbai	
aid		Alngith	
aie		Amara	
aif		Agi	
aig		Antigua and Barbuda Creole English	Creole
aih		Ai-Cham	
aii		Assyrian Neo-Aramaic	ܐܬܘܪܝܐ‎ (Ātūrāyā), ܣܘܪܬ‎ (Sūrët)
aij		Lishanid Noshan	
aik		Ake	
ail		Aimele	
aim		Aimol	Aimol
ain		Ainu	アイヌ‎ (Aynu), アイヌ イタㇰ‎ (Aynu itak)
aio		Aiton	
aip		Burumakok	
aiq		Aimaq	
air		Airoran	
ais		Nataoran Amis	
ait		Arikem	
aiw		Aari	Aari
aix		Aighon	Aighon, Apsokok
aiy		Ali	
aja		Aja (Sudan)	
ajg		Aja (Benin)	Ajagbe
aji		Ajië	
ajn		Andajin	
ajp		South Levantine Arabic	
ajt		Judeo-Tunisian Arabic	
aju		Judeo-Moroccan Arabic	
ajw		Ajawa	
ajz		Amri Karbi	Amri Karbi
akb		Batak Angkola	
akc		Mpur	
akd		Ukpet-Ehom	
ake		Akawaio	Kapon
akf		Akpa	
akg		Anakalangu	
akh		Angal Heneng	
aki		Aiome	
akj		Aka-Jeru	
akk		Akkadian	
akl		Aklanon	Inakeanon
akm		Aka-Bo	
ako		Akurio	
akp		Siwu	Siwu
akq		Ak	
akr		Araki	
aks		Akaselem	
akt		Akolet	
aku		Akum	
akv		Akhvakh	
akw		Akwa	
akx		Aka-Kede	
aky		Aka-Kol	
akz		Alabama	
ala		Alago	
alc		Qawasqar	
ald		Alladian	
ale		Aleut	Unangam tunnu
alf		Alege	
alh		Alawa	
ali		Amaimon	
alj		Alangan	
alk		Alak	
all		Allar	
alm		Amblong	
aln		Gheg Albanian	Gegnisht-Shqyp, Shqyp
alo		Larike-Wakasihu	
alp		Alune	
alq		Algonquin	Anishinaabemowin
alr		Alutor	
als		Tosk Albanian	Shqip
alt		Southern Altai	алтай тили‎ (Altay tili), алтайча‎ (Altajča)
alu		'Are'are	’Are’are
alw		Alaba-K’abeena	
alx		Amol	
aly		Alyawarr	
alz		Alur	DhuAlur
ama		Amanayé	
amb		Ambo	
amc		Amahuaca	Yora
ame		Yanesha'	Yanesha’
amf		Hamer-Banna	
amg		Amurdak	
ami		Amis	Amis
amj		Amdang	
amk		Ambai	
aml		War-Jaintia	
amm		Ama (Papua New Guinea)	
amn		Amanab	Awai
amo		Amo	Timap
amp		Alamblak	
amq		Amahai	
amr		Amarakaeri	Amarakaeri, Harakmbut
ams		Southern Amami-Oshima	
amt		Amto	
amu		Guerrero Amuzgo	Ñomndaa
amv		Ambelau	
amw		Western Neo-Aramaic	
amx		Anmatyerre	
amy		Ami	
amz		Atampaya	
ana		Andaqui	
anb		Andoa	Simikai
anc		Ngas	
and		Ansus	
ane		Xârâcùù	
anf		Animere	
ang		Old English	
anh		Nend	
ani		Andi	къIaваннаб мицци‎ (Qwavannab Micci), мицци‎ (Micci)
anj		Anor	
ank		Goemai	
anl		Anu-Hkongso Chin	
anm		Anal	
ann		Obolo	Obolo
ano		Andoque	
anp		Angika	अंगिका‎ (Angika)
anq		Jarawa (India)	
anr		Andh	
ans		Anserma	
ant		Antakarinya	
anu		Anuak	
anv		Denya	Denya
anw		Anaang	
anx		Andra-Hus	
any		Anyin	
anz		Anem	
aoa		Angolar	
aob		Abom	
aoc		Pemon	Kamarakotos
aod		Andarum	
aoe		Angal Enen	
aof		Bragat	
aog		Angoram	
aoh		Arma	
aoi		Anindilyakwa	
aoj		Mufian	
aok		Arhö	
aol		Alor	
aom		Ömie	
aon		Bumbita Arapesh	Weri
aor		Aore	
aos		Taikat	
aot		Atong (India)	
aou		A'ou	
aox		Atorada	
aoz		Uab Meto	Uab Meto
apb		Sa'a	
apc		North Levantine Arabic	اللهجة العربيّة السورىّة‎ (El-lahjeẗ el-‛arabīyeẗ es-sūrīyé)
apd		Sudanese Arabic	Arabi
ape		Bukiyip	
apf		Pahanan Agta	
apg		Ampanang	
aph		Athpariya	आठपहरिया‎ (Āṭhapahariyā)
api		Apiaká	
apj		Jicarilla Apache	Abáachi mizaa, Jicarilla Abáachi
apk		Kiowa Apache	
apl		Lipan Apache	
apm		Mescalero-Chiricahua Apache	Ndee bizaa
apn		Apinayé	Apinayé
apo		Ambul	
app		Apma	Apma, Dalekte
apq		A-Pucikwar	
apr		Arop-Lokep	Arop-Lokep
aps		Arop-Sissano	
apt		Apatani	
apu		Apurinã	
apv		Alapmunte	
apw		Western Apache	Ndee biyáti’
apx		Aputai	
apy		Apalaí	
apz		Safeyoka	
aqc		Archi	
aqd		Ampari Dogon	
aqg		Arigidi	
aqm		Atohwaim	
aqn		Northern Alta	
aqp		Atakapa	
aqr		Arhâ	
aqt		Angaité	
aqz		Akuntsu	
arb		Standard Arabic	العربية‎ (al-ʻArabīyah)
arc		Aramaic	
ard		Arabana	
are		Western Arrarnta	Arrente
arh		Arhuaco	Iku
ari		Arikara	
arj		Arapaso	
ark		Arikapú	
arl		Arabela	Tapueyocaca
arn		Mapuche	Mapudungun
aro		Araona	
arp		Arapaho	Hinónoʼeitíít
arq		Algerian Arabic	دزيرية‎ (Dziria)
arr		Karo (Brazil)	
ars		Najdi Arabic	
aru		Aruá (Amazonas State)	
arv		Arbore	
arw		Arawak	Arawak, Lokono
arx		Aruá (Rodonia State)	
ary		Moroccan Arabic	الدارجة‎ (Darija)
arz		Egyptian Arabic	مصري‎ (Masri)
asa		Asu	Kipare
asb		Assiniboine	
asc		Casuarina Coast Asmat	
asd		Asas	
ase		American Sign Language	
asf		Australian Sign Language	
asg		Cishingini	Cishingini
ash		Abishira	
asi		Buruwai	
asj		Sari	Sari
ask		Ashkun	
asl		Asilulu	
asn		Xingú Asuriní	
aso		Dano	
asp		Algerian Sign Language	
asq		Austrian Sign Language	
asr		Asuri	
ass		Ipulo	
ast		Asturian	asturianu
asu		Tocantins Asurini	Asuriní
asv		Asoa	
asw		Australian Aborigines Sign Language	
asx		Muratayak	
asy		Yaosakor Asmat	Asmat
asz		As	
ata		Pele-Ata	
atb		Zaiwa	
atc		Atsahuaca	
atd		Ata Manobo	
ate		Atemble	
atg		Ivbie North-Okpela-Arhe	
ati		Attié	
atj		Atikamekw	Atikamekw
atk		Ati	
atl		Mt. Iraya Agta	
atm		Ata	
atn		Ashtiani	
ato		Atong (Cameroon)	
atp		Pudtol Atta	
atq		Aralle-Tabulahan	
atr		Waimiri-Atroari	
ats		Gros Ventre	
att		Pamplona Atta	Atta
atu		Reel	Thok Reel
atv		Northern Altai	Алтай тили‎ (Altay tili)
atw		Atsugewi	
atx		Arutani	
aty		Aneityum	Anejom, Intas Anejom
atz		Arta	
aua		Asumboa	
aub		Alugu	
auc		Waorani	Wao Tededö
aud		Anuta	
aug		Aguna	
auh		Aushi	
aui		Anuki	
auj		Awjilah	
auk		Heyo	
aul		Aulua	
aum		Asu (Nigeria)	
aun		Molmo One	One
auo		Auyokawa	
aup		Makayam	
auq		Anus	
aur		Aruek	
aut		Austral	
auu		Auye	
auw		Awyi	
aux		Aurá	
auy		Awiyaana	
auz		Uzbeki Arabic	
avb		Avau	
avd		Alviri-Vidari	
avi		Avikam	
avk		Kotava	
avl		Eastern Egyptian Bedawi Arabic	
avm		Angkamuthi	
avn		Avatime	Si-yà
avo		Agavotaguerra	
avs		Aushiri	
avt		Au	Au
kyp		Kang	
bul	bg	Bulgarian	български
bod	bo	Tibetan	བོད་སྐད་
bis	bi	Bislama	Bislama
bre	br	Breton	brezhoneg
buk		Bugawac	
buj		Basa-Gurmana	
bui		Bongili	
buh		Younuo Bunu	
bug		Buginese	Basa Ugi
buf		Bushoong	
bue		Beothuk	
bud		Ntcham	Ncham
buc		Bushi	Kibushi, Shibushi Shimaore
bub		Bua	
bua		Buriat	
btz		Batak Alas-Kluet	
bty		Bobot	
btx		Batak Karo	
btw		Butuanon	
btv		Bateri	
btu		Batu	
btt		Bete-Bendi	
bts		Batak Simalungun	
btr		Baetora	
btq		Batek	
btp		Budibud	
bto		Rinconada Bikol	
btn		Ratagnon	
btm		Batak Mandailing	
btj		Bacanese Malay	
bti		Burate	
bth		Biatah Bidayuh	
btg		Gagnoa Bété	
btf		Birgit	
bte		Gamo-Ningi	
btd		Batak Dairi	
btc		Bati (Cameroon)	
bta		Bata	
bsy		Sabah Bisaya	
bsx		Yangkam	
bsw		Baiso	
bsv		Baga Sobané	
bsu		Bahonsuai	
bst		Basketo	
bss		Akoose	Akoose
bsr		Bassa-Kontagora	
bsq		Bassa	
bsp		Baga Sitemu	
bso		Buso	
bsn		Barasana-Eduria	Barasana-Eduria
bsm		Busami	
bsl		Basa-Gumna	
bsk		Burushaski	Burushaski, Mishaski, بروشسکی‎ (burū́šaskī)
bsj		Bangwinji	
bsi		Bassossi	
bsh		Kati	
bsg		Bashkardi	
bsf		Bauchi	
bse		Wushi	
bsc		Bassari	Oniyan
bsb		Brunei Bisaya	
bsa		Abinomn	
brz		Bilbil	Bel
bry		Burui	
brx		Bodo	बड़ो
brw		Bellari	
brv		Western Bru	
bru		Eastern Bru	
brt		Bitare	
brs		Baras	
brr		Birao	
brq		Breri	
brp		Barapasi	
bro		Brokkat	
brn		Boruca	
brm		Barambu	
brl		Birwa	
brk		Birked	
brj		Bieria	
bri		Mokpwe	
brh		Brahui	براہوئی‎ (brāhūʾī)
brg		Baure	Baure
brf		Bera	Kibira
brd		Baraamu	
brc		Berbice Creole Dutch	
brb		Lave	
bra		Braj	
bqz		Bakaka	
bqy		Bengkala Sign Language	
bqx		Baangi	
bqw		Buru (Nigeria)	
bqv		Koro Wachi	
bqu		Boguru	
bqt		Bamukumbit	
bqs		Bosngun	
bqr		Burusu	
bqq		Biritai	
bqp		Busa	Bisã
bqo		Balo	
bqn		Bulgarian Sign Language	
bqm		Wumboko	
bql		Bilakura	
bqk		Banda-Mbrès	
bqj		Bandial	Gubanjalay
bqi		Bakhtiari	بختیاری‎ (Bakhtiâri)
bqh		Baima	
bqg		Bago-Kusuntu	
bqf		Baga Kaloum	
bqd		Bung	
bqc		Boko (Benin)	
bqb		Bagusa	
bqa		Tchumbuli	
bpz		Bilba	
bpy		Bishnupriya	
bpx		Palya Bareli	
bpw		Bo (Papua New Guinea)	
bpv		Bian Marind	
bpu		Bongu	
bpt		Barrow Point	
bps		Sarangani Blaan	
bpr		Koronadal Blaan	
bpq		Banda Malay	
bpp		Kaure	
bpo		Anasi	
bpn		Dzao Min	
bpm		Biyom	
bpl		Broome Pearling Lugger Pidgin	
bpk		Orowe	
bpj		Binji	
bpi		Bagupi	
bph		Botlikh	
bpg		Bonggo	
bpd		Banda-Banda	
bpb		Barbacoas	
bpa		Daakaka	Daakaka
boz		Tiéyaxo Bozo	Tieyaxo
boy		Bodo (Central African Republic)	
box		Buamu	Buamu
bow		Rema	
bov		Tuwuli	
bou		Bondei	
bot		Bongo	
bor		Borôro	Boe Wadáru
boq		Bogaya	
bop		Bonkiman	
boo		Tiemacèwè Bozo	
bon		Bine	
bom		Berom	
bol		Bole	
bok		Bonjo	
boj		Anjam	Anjam
boi		Barbareño	
boh		Boma	
bog		Bamako Sign Language	
bof		Bolon	
boe		Mundabli	
bob		Aweer	
boa		Bora	Booraa, Miamunaa
bnz		Beezen	
bny		Bintulu	
bnx		Bangubangu	
bnw		Bisis	
bnv		Bonerif	
bnu		Bentong	
bos	bs	Bosnian	bosanski
beo		Beami	
bep		Besoa	
beq		Beembe	
bes		Besme	
bet		Guiberoua Béte	
beu		Blagar	
bev		Daloa Bété	
bew		Betawi	
bex		Jur Modo	
bey		Beli (Papua New Guinea)	
bez		Bena	Hibena
bfa		Bari	Kuku
bfb		Pauri Bareli	
bfc		Panyi Bai	
bfd		Bafut	
bfe		Betaf	
bff		Bofi	
bfg		Busang Kayan	
bfh		Blafe	
bfi		British Sign Language	
bfj		Bafanji	Chufie’
bfk		Ban Khor Sign Language	
bfl		Banda-Ndélé	
bfm		Mmen	
bfn		Bunak	
bfo		Malba Birifor	
bfp		Beba	
bfq		Badaga	Badaga, ಬಡಗ‎ (Badaga)
bfr		Bazigar	
bfs		Southern Bai	白语‎ (Baip‧ngvp‧zix)
bft		Balti	بلتی‎ (Baltī), སྦལ་འཐུས་‎ (Balti)
bfu		Gahri	
bfw		Bondo	
bfx		Bantayanon	
bfy		Bagheli	बघेली‎ (Bagheli)
bfz		Mahasu Pahari	
bga		Gwamhi-Wuri	
bgb		Bobongko	
bgc		Haryanvi	हरियाणवी‎ (Hariyāṇvī), हिंदी‎ (Hindi)
bgd		Rathwi Bareli	बरेली‎ (Bareli)
bge		Bauria	
bgf		Bangandu	
bgg		Bugun	Bugun
bgi		Giangan	
bgj		Bangolan	
bgk		Bit	
bgl		Bo (Laos)	
bgn		Western Balochi	بلوچی (رخشانی)
bgo		Baga Koga	
bgp		Eastern Balochi	بلوچی‎ (Balōčī), بلوچی زبان‎ (Balōčī Zubān)
bgq		Bagri	बागड़ी‎ (Bagri)
bgr		Bawm Chin	
bgs		Tagabawa	Bagobo
bgt		Bughotu	
bgu		Mbongno	
bgv		Warkay-Bipim	
bgw		Bhatri	
bgx		Balkan Gagauz Turkish	
bgy		Benggoi	
bgz		Banggai	
bha		Bharia	
bhb		Bhili	भीली‎ (Bhīlī)
bhc		Biga	
bhd		Bhadrawahi	भद्रवाही‎ (Bhadrawahi)
bhe		Bhaya	
bhf		Odiai	
bhg		Binandere	
bhh		Bukharic	
bhi		Bhilali	
bhj		Bahing	
bhl		Bimin	
bhm		Bathari	
bhn		Bohtan Neo-Aramaic	
bho		Bhojpuri	भोजपुरी‎ (Bhōjpurī)
bhp		Bima	
bhq		Tukang Besi South	
bhr		Bara Malagasy	
bhs		Buwal	Buwal
bht		Bhattiyali	
bhu		Bhunjia	
bhv		Bahau	
bhw		Biak	Wós Kovedi, Wós Vyak
bhx		Bhalay	
bhy		Bhele	
bhz		Bada (Indonesia)	
bia		Badimaya	
bib		Bissa	
bic		Bikaru	
bid		Bidiyo	
bie		Bepour	
bif		Biafada	
big		Biangai	Biangai
bij		Vaghat-Ya-Bijim-Legeri	
bik		Bikol	
bil		Bile	
bim		Bimoba	
bin		Bini	Edo
bio		Nai	
bip		Bila	
biq		Bipi	
bir		Bisorio	
bit		Berinomo	
biu		Biete	
biv		Southern Birifor	
biw		Kol (Cameroon)	Bòkól
bix		Bijori	
biy		Birhor	
biz		Baloi	
bja		Budza	
bjb		Banggarla	
bjc		Bariji	
bje		Biao-Jiao Mien	
bjf		Barzani Jewish Neo-Aramaic	
bjg		Bidyogo	
bjh		Bahinemo	Bahinemo
bji		Burji	
bjj		Kanauji	देहाती‎ (Dehati), हिन्दी‎ (Hindi)
bjk		Barok	
bjl		Bulu (Papua New Guinea)	
bjm		Bajelani	
bjn		Banjar	بنجر‎ (Banjar)
bjo		Mid-Southern Banda	
bjp		Fanamaket	
bjr		Binumarien	Binumarien
bjs		Bajan	
bjt		Balanta-Ganja	
bju		Busuu	
bjv		Bedjond	Bedjond, Nangnda
bjw		Bakwé	
bjx		Banao Itneg	
bjy		Bayali	
bjz		Baruga	
bka		Kyak	
bkc		Baka (Cameroon)	
bkd		Binukid	Binukid
bkf		Beeke	
bkg		Buraka	
bkh		Bakoko	
bki		Baki	Baki
bkj		Pande	
bkk		Brokskat	
bkl		Berik	
bkm		Kom	Itangikom
bkn		Bukitan	
bko		Kwa'	
bkp		Boko (Democratic Republic of Congo)	
bkq		Bakairí	Kurâ
bkr		Bakumpai	
bks		Northern Sorsoganon	
bkt		Boloki	
bku		Buhid	
bkv		Bekwarra	
bkw		Bekwel	
bkx		Baikeno	Baikeno, Uab Metô
bky		Bokyi	
bkz		Bungku	
bla		Siksika	ᓱᖽᐧᖿ‎ (Siksiká)
blb		Bilua	
blc		Bella Coola	
bld		Bolango	
ble		Balanta-Kentohe	
blf		Buol	Apadu Vuolo
blg		Balau	
blh		Kuwaa	
bli		Bolia	
blj		Bolongan	
blk		Pa'o Karen	
bll		Biloxi	
blm		Beli (Sudan)	Beli
bln		Southern Catanduanes Bikol	
blo		Anii	Anii
blp		Blablanga	
blq		Baluan-Pam	
blr		Blang	
bls		Balaesang	
blt		Tai Dam	ꪼꪕꪒꪾ
blv		Kibala	
blw		Balangao	
blx		Mag-Indi Ayta	
bly		Notre	
blz		Balantak	
bma		Lame	
bmb		Bembe	
bmc		Biem	
bmd		Baga Manduri	
bme		Limassa	
bmf		Bom-Kim	
bmg		Bamwe	
bmh		Kein	
bmi		Bagirmi	Barma
bmj		Bote-Majhi	
bmk		Ghayavi	
bml		Bomboli	
bmm		Northern Betsimisaraka Malagasy	
bmn		Bina (Papua New Guinea)	
bmo		Bambalang	Chrambo, Mboyakum
bmp		Bulgebi	
bmq		Bomu	Bomu, Boré
bmr		Muinane	
bms		Bilma Kanuri	
bmt		Biao Mon	
bmu		Somba-Siawari	Mindik, Somba-Siawari
bmv		Bum	Bum
bmw		Bomwali	
bmx		Baimak	
bmz		Baramu	
bna		Bonerate	
bnb		Bookan	
bnc		Bontok	
bnd		Banda (Indonesia)	
bne		Bintauna	
bnf		Masiwang	
bng		Benga	
bni		Bangi	
bnj		Eastern Tawbuid	
bnk		Bierebo	
bnl		Boon	
bnm		Batanga	
bnn		Bunun	Bunun
bno		Bantoanon	Binisaya, Bisaya
bnp		Bola	
bnq		Bantik	
bnr		Butmas-Tur	
bns		Bundeli	बुन्देली‎ (Bundeli)
lsg		Lyons Sign Language	
cat	ca	Catalan	català
cas		Tsimané	
car		Carib	Kari’na auran, Kari’ña
caq		Car Nicobarese	
cap		Chipaya	Chipaya
cao		Chácobo	
can		Chambri	
cam		Cemuhî	Cemuhî
cal		Carolinian	
cak		Kaqchikel	
caj		Chané	
cah		Cahuarano	
cag		Nivaclé	Guisnai
caf		Southern Carrier	
cae		Lehar	
cad		Caddo	
cac		Chuj	Koti’
cab		Garifuna	
caa		Chortí	
bzz		Evant	
bzy		Obanliku	
bzx		Kɛlɛngaxo Bozo	
bzw		Basa (Nigeria)	
bzv		Naami	Naami
bzu		Burmeso	
bzt		Brithenig	
bzs		Brazilian Sign Language	
bzr		Biri	
bzq		Buli (Indonesia)	
